- | STRIKE | Gravity Thump :: D (redundant with Gravity Thump)
- | STRIKE | Ultradense Ram :: D (redundant)
- | STRIKE | Ultradense Charge :: D (redundant)
- | STRIKE | Ultradense Barge :: D (redundant)
- | STRIKE | Ultradense Tackle :: D (redundant)
- | STRIKE | Weight Slam :: D (redundant with Mass Slam)
- | STRIKE | Weight Thump :: D (redundant with Mass Thump)
- | STRIKE | Weight Bash :: D (redundant)
- | STRIKE | Weight Knock :: D (redundant)
- | STRIKE | Weight Rap :: D (redundant)
- | STRIKE | Weight Crash :: D (redundant)
- | STRIKE | Weight Buffet :: D (redundant)
- | STRIKE | Weight Ram :: D (redundant)
- | STRIKE | Weight Charge :: D (redundant)
- | STRIKE | Weight Barge :: D (redundant)
- | STRIKE | Weight Tackle :: D (redundant)
- | STRIKE | Weighty Blow :: D (redundant with Weighted Impact, adjective-form duplicate)
- | STRIKE | Weighty Impact :: D (redundant)
- | STRIKE | Weighty Smash :: D (redundant)
- | STRIKE | Weighty Slam :: D (redundant)
- | STRIKE | Weighty Thump :: D (redundant)
- | STRIKE | Weighty Bash :: D (redundant)
- | STRIKE | Weighty Wallop :: D (redundant)
- | STRIKE | Weighty Knock :: D (redundant)
- | STRIKE | Weighty Rap :: D (redundant)
- | STRIKE | Weighty Crash :: D (redundant)
- | STRIKE | Weighty Buffet :: D (redundant)
- | STRIKE | Weighty Ram :: D (redundant)
- | STRIKE | Weighty Charge :: D (redundant)
- | STRIKE | Weighty Barge :: D (redundant)
- | STRIKE | Weighty Tackle :: D (redundant)
- | STRIKE | Ponderous Impact :: D (redundant)
- | STRIKE | Ponderous Smash :: D (redundant)
- | STRIKE | Ponderous Slam :: D (redundant with Mass Slam)
- | STRIKE | Ponderous Thump :: D (redundant)
- | STRIKE | Ponderous Bash :: D (redundant)
- | STRIKE | Ponderous Wallop :: D (redundant with Dense Wallop cut)
- | STRIKE | Ponderous Knock :: D (redundant)
- | STRIKE | Ponderous Rap :: D (redundant)
- | STRIKE | Ponderous Crash :: D (redundant)
- | STRIKE | Ponderous Buffet :: D (redundant)
- | STRIKE | Ponderous Ram :: D (redundant)
- | STRIKE | Ponderous Charge :: D (redundant)
- | STRIKE | Ponderous Barge :: D (redundant)
- | STRIKE | Ponderous Tackle :: D (redundant)
- | STRIKE | Massive Impact :: D (redundant with Massive Blow)
- | STRIKE | Massive Smash :: D (redundant with Void Smash — massive is a quality-adjective, not a distinct me
- | STRIKE | Massive Slam :: D (redundant with Mass Slam)
- | STRIKE | Massive Thump :: D (redundant)
- | STRIKE | Massive Bash :: D (redundant)
- | STRIKE | Massive Wallop :: D (redundant with Dense Wallop cut)
- | STRIKE | Massive Knock :: D (redundant)
- | STRIKE | Massive Rap :: D (redundant)
- | STRIKE | Massive Crash :: D (redundant)
- | STRIKE | Massive Buffet :: D (redundant)
- | STRIKE | Massive Ram :: D (redundant with Gravity Ram)
- | STRIKE | Massive Charge :: D (redundant)
- | STRIKE | Massive Barge :: D (redundant)
- | STRIKE | Massive Tackle :: D (redundant)
- | STRIKE | Collapse Impact :: D (redundant with Collapse Point)
- | STRIKE | Collapse Thump :: D (redundant)
- | STRIKE | Collapse Bash :: D (redundant with Void Bash)
- | STRIKE | Collapse Knock :: D (redundant)
- | STRIKE | Collapse Rap :: D (redundant)
- | STRIKE | Collapse Crash :: D (redundant with Void Crash)
- | STRIKE | Collapse Ram :: D (redundant)
- | STRIKE | Collapse Barge :: D (redundant)
- | STRIKE | Collapse Tackle :: D (redundant)
- | STRIKE | Warp Impact :: D (redundant)
- | STRIKE | Warp Slam :: D (redundant with Void Slam)
- | STRIKE | Warp Thump :: D (redundant)
- | STRIKE | Warp Bash :: D (redundant)
- | STRIKE | Warp Knock :: D (redundant)
- | STRIKE | Warp Rap :: D (redundant)
- | STRIKE | Warp Crash :: D (redundant)
- | STRIKE | Warp Buffet :: D (redundant)
- | STRIKE | Warp Ram :: D (redundant)
- | STRIKE | Warp Charge :: D (redundant)
- | STRIKE | Warp Barge :: D (redundant)
- | STRIKE | Warp Tackle :: D (redundant)
- | STRIKE | Torsion Impact :: D (redundant)
- | STRIKE | Torsion Slam :: D (redundant with Void Slam)
- | STRIKE | Torsion Thump :: D (redundant)
- | STRIKE | Torsion Bash :: D (redundant)
- | STRIKE | Torsion Knock :: D (redundant)
- | STRIKE | Torsion Rap :: D (redundant)
- | STRIKE | Torsion Crash :: D (redundant)
- | STRIKE | Torsion Buffet :: D (redundant)
- | STRIKE | Torsion Ram :: D (redundant)
- | STRIKE | Torsion Charge :: D (redundant)
- | STRIKE | Torsion Barge :: D (redundant)
- | STRIKE | Torsion Tackle :: D (redundant)
- | STRIKE | Horizon Impact :: D (redundant with Horizon Strike)
- | STRIKE | Horizon Slam :: D (redundant with Void Slam)
- | STRIKE | Horizon Thump :: D (redundant)
- | STRIKE | Horizon Bash :: D (redundant with Void Bash)
- | STRIKE | Horizon Knock :: D (redundant)
- | STRIKE | Horizon Rap :: D (redundant)
- | STRIKE | Horizon Charge :: D (redundant with Void Charge)
- | STRIKE | Horizon Barge :: D (redundant)
- | STRIKE | Horizon Tackle :: D (redundant)
- | STRIKE | Rift Impact :: D (redundant)
- | STRIKE | Rift Slam :: D (redundant with Void Slam)
- | STRIKE | Rift Thump :: D (redundant)
- | STRIKE | Rift Bash :: D (redundant)
- | STRIKE | Rift Knock :: D (redundant)
- | STRIKE | Rift Rap :: D (redundant)
- | STRIKE | Rift Crash :: D (redundant)
- | STRIKE | Rift Buffet :: D (redundant)
- | STRIKE | Rift Charge :: D (redundant)
- | STRIKE | Rift Barge :: D (redundant)
- | STRIKE | Rift Tackle :: D (redundant)
- | STRIKE | Fissure Impact :: D (redundant)
- | STRIKE | Fissure Slam :: D (redundant with Void Slam)
- | STRIKE | Fissure Thump :: D (redundant)
- | STRIKE | Fissure Bash :: D (redundant)
- | STRIKE | Fissure Knock :: D (redundant)
- | STRIKE | Fissure Rap :: D (redundant)
- | STRIKE | Fissure Crash :: D (redundant)
- | STRIKE | Fissure Buffet :: D (redundant)
- | STRIKE | Fissure Charge :: D (redundant)
- | STRIKE | Fissure Barge :: D (redundant)
- | STRIKE | Fissure Tackle :: D (redundant)
- | STRIKE | Millstone Impact :: D (redundant with Millstone Blow)
- | STRIKE | Millstone Slam :: D (redundant with Mass Slam)
- | STRIKE | Millstone Thump :: D (redundant)
- | STRIKE | Millstone Bash :: D (redundant)
- | STRIKE | Millstone Knock :: D (redundant)
- | STRIKE | Millstone Rap :: D (redundant)
- | STRIKE | Millstone Crash :: D (redundant)
- | STRIKE | Millstone Buffet :: D (redundant)
- | STRIKE | Millstone Ram :: D (redundant with Gravity Ram)
- | STRIKE | Millstone Charge :: D (redundant)
- | STRIKE | Millstone Barge :: D (redundant)
- | STRIKE | Millstone Tackle :: D (redundant)
- | STRIKE | Ballast Impact :: D (redundant)
- | STRIKE | Ballast Slam :: D (redundant with Mass Slam)
- | STRIKE | Ballast Thump :: D (redundant)
- | STRIKE | Ballast Bash :: D (redundant)
- | STRIKE | Ballast Knock :: D (redundant)
- | STRIKE | Ballast Rap :: D (redundant)
- | STRIKE | Ballast Crash :: D (redundant)
- | STRIKE | Ballast Buffet :: D (redundant)
- | STRIKE | Ballast Ram :: D (redundant)
- | STRIKE | Ballast Charge :: D (redundant)
- | STRIKE | Ballast Barge :: D (redundant)
- | STRIKE | Ballast Tackle :: D (redundant)
- | STRIKE | Deadweight Impact :: D (redundant)
- | STRIKE | Deadweight Slam :: D (redundant with Mass Slam)
- | STRIKE | Deadweight Thump :: D (redundant)
- | STRIKE | Deadweight Bash :: D (redundant)
- | STRIKE | Deadweight Knock :: D (redundant)
- | STRIKE | Deadweight Rap :: D (redundant)
- | STRIKE | Deadweight Crash :: D (redundant)
- | STRIKE | Deadweight Buffet :: D (redundant)
- | STRIKE | Deadweight Ram :: D (redundant)
- | STRIKE | Deadweight Charge :: D (redundant)
- | STRIKE | Deadweight Barge :: D (redundant)
- | STRIKE | Deadweight Tackle :: D (redundant)
- | STRIKE | Force Impact :: D (redundant with Weighted Impact)
- | STRIKE | Force Slam :: D (redundant with Mass Slam)
- | STRIKE | Force Thump :: D (redundant)
- | STRIKE | Force Bash :: D (redundant)
- | STRIKE | Force Knock :: D (redundant)
- | STRIKE | Force Rap :: D (redundant)
- | STRIKE | Force Crash :: D (redundant)
- | STRIKE | Force Buffet :: D (redundant)
- | STRIKE | Force Ram :: D (redundant with Gravity Ram)
- | STRIKE | Force Charge :: D (redundant with Gravity Charge)
- | STRIKE | Force Barge :: D (redundant)
- | STRIKE | Force Tackle :: D (redundant)
- | STRIKE | Momentum Impact :: D (redundant)
- | STRIKE | Momentum Slam :: D (redundant with Mass Slam)
- | STRIKE | Momentum Thump :: D (redundant)
- | STRIKE | Momentum Bash :: D (redundant)
- | STRIKE | Momentum Knock :: D (redundant)
- | STRIKE | Momentum Rap :: D (redundant)
- | STRIKE | Momentum Crash :: D (redundant)
- | STRIKE | Momentum Buffet :: D (redundant)
- | STRIKE | Momentum Ram :: D (redundant)
- | STRIKE | Momentum Charge :: D (redundant with Gravity Charge)
- | STRIKE | Momentum Barge :: D (redundant)
- | STRIKE | Momentum Tackle :: D (redundant)
- | STRIKE | Inertia Impact :: D (redundant)
- | STRIKE | Inertia Slam :: D (redundant, and definitionally backwards — inertia resists a slam rather than 
- | STRIKE | Inertia Thump :: D (redundant)
- | STRIKE | Inertia Bash :: D (redundant)
- | STRIKE | Inertia Knock :: D (redundant)
- | STRIKE | Inertia Rap :: D (redundant)
- | STRIKE | Inertia Crash :: D (redundant)
- | STRIKE | Inertia Buffet :: D (redundant)
- | STRIKE | Inertia Charge :: D (redundant)
- | STRIKE | Inertia Barge :: D (redundant)
- | STRIKE | Inertia Tackle :: D (redundant)
- | LASH | Gravity Crack :: D (redundant with Void Crack; gravity itself has no rigid crack-surface, the cra
- | LASH | Gravity Reap :: D (redundant with Entropic Reap/Void Reap — gravity itself doesn't harvest, entr
- | LASH | Gravity Roundhouse :: D ("Gravity Roundhouse" — redundant/weak, no distinct image beyond Gravity Wheel
- | LASH | Void Roundhouse :: D ("Void Roundhouse" — redundant with Void Wheel, no new image)
- | LASH | Singularity Sweep :: D (redundant with Void Sweep; a singularity's motion is inward collapse, not an 
- | LASH | Singularity Arc :: D (redundant with Void Arc)
- | LASH | Singularity Snap :: D (redundant with Void Snap)
- | LASH | Singularity Cleave :: D (redundant with Void Cleave)
- | LASH | Singularity Reap :: D (redundant with Void Reap)
- | LASH | Singularity Scythe :: D (redundant with Void Scythe)
- | LASH | Singularity Wheel :: D (redundant with Void Wheel)
- | LASH | Singularity Roundhouse :: D (redundant)
- | LASH | Mass Sweep :: D (redundant with Gravity Sweep)
- | LASH | Mass Swipe :: D (redundant with Gravity Swipe)
- | LASH | Mass Arc :: D (redundant with Gravity Arc)
- | LASH | Mass Snap :: D (redundant with Gravity Snap)
- | LASH | Mass Thrash :: D (redundant with Gravity Thrash)
- | LASH | Mass Cleave :: D (redundant with Gravity Cleave)
- | LASH | Mass Wheel :: D (redundant with Gravity Wheel)
- | LASH | Mass Roundhouse :: D (redundant)
- | LASH | Warp Swipe :: D (redundant with Void Swipe)
- | LASH | Warp Arc :: D (redundant with Void Arc)
- | LASH | Warp Snap :: D (redundant with Warp Crack register)
- | LASH | Warp Thrash :: D (redundant with Void Thrash)
- | LASH | Warp Cleave :: D (redundant with Void Cleave)
- | LASH | Warp Wheel :: D (redundant with Void Wheel)
- | LASH | Warp Roundhouse :: D (redundant)
- | LASH | Torsion Sweep :: D (redundant with Warp Sweep)
- | LASH | Torsion Swipe :: D (redundant with Void Swipe)
- | LASH | Torsion Arc :: D (redundant with Void Arc)
- | LASH | Torsion Snap :: D (redundant with Torsion Crack register)
- | LASH | Torsion Thrash :: D (redundant with Void Thrash)
- | LASH | Torsion Cleave :: D (redundant with Void Cleave)
- | LASH | Torsion Roundhouse :: D (redundant)
- | LASH | Spiral Sweep :: D (redundant with Gravity Sweep; a spiral's motion is inward-coiling, distinct f
- | LASH | Spiral Swipe :: D (redundant with Void Swipe)
- | LASH | Spiral Snap :: D (redundant with Void Snap)
- | LASH | Spiral Thrash :: D (redundant with Void Thrash)
- | LASH | Spiral Cleave :: D (redundant with Void Cleave)
- | LASH | Spiral Roundhouse :: D (redundant with Spiral Wheel)
- | LASH | Helix Sweep :: D (redundant with Spiral's sweep-register)
- | LASH | Helix Swipe :: D (redundant with Void Swipe)
- | LASH | Helix Snap :: D (redundant with Void Snap)
- | LASH | Helix Thrash :: D (redundant with Void Thrash)
- | LASH | Helix Cleave :: D (redundant with Void Cleave)
- | LASH | Helix Wheel :: D (redundant with Spiral Wheel, same tautology)
- | LASH | Helix Windmill :: D (redundant with Spiral Windmill)
- | LASH | Helix Roundhouse :: D (redundant)
- | LASH | Curvature Swipe :: D (redundant with Void Swipe)
- | LASH | Curvature Snap :: D (redundant with Void Snap)
- | LASH | Curvature Thrash :: D (redundant with Void Thrash)
- | LASH | Curvature Cleave :: D (redundant with Void Cleave)
- | LASH | Curvature Wheel :: D (redundant with Spiral Wheel)
- | LASH | Curvature Roundhouse :: D (redundant)
- | LASH | Bend Sweep :: D (redundant with Warp Sweep)
- | LASH | Bend Swipe :: D (redundant with Void Swipe)
- | LASH | Bend Snap :: D (redundant with Void Snap)
- | LASH | Bend Thrash :: D (redundant with Void Thrash)
- | LASH | Bend Cleave :: D (redundant with Void Cleave)
- | LASH | Bend Wheel :: D (redundant with Spiral Wheel)
- | LASH | Bend Roundhouse :: D (redundant)
- | LASH | Twist Sweep :: D (redundant with Warp Sweep)
- | LASH | Twist Swipe :: D (redundant with Void Swipe)
- | LASH | Twist Arc :: D (redundant with Void Arc)
- | LASH | Twist Thrash :: D (redundant with Void Thrash)
- | LASH | Twist Cleave :: D (redundant with Void Cleave)
- | LASH | Twist Wheel :: D (redundant with Spiral Wheel; a twist is directional, not circular)
- | LASH | Twist Roundhouse :: D (redundant)
- | LASH | Maelstrom Sweep :: D (redundant with the containment reading — a maelstrom is a place/event, not a 
- | LASH | Maelstrom Arc :: D (redundant with Vortex Lash's settled register)
- | LASH | Maelstrom Thrash :: D (redundant with Void Thrash)
- | LASH | Maelstrom Roundhouse :: D (redundant with Maelstrom Wheel)
- | LASH | Whirlpool Sweep :: D (redundant)
- | LASH | Whirlpool Swipe :: D (redundant)
- | LASH | Whirlpool Arc :: D (redundant with Vortex Lash's settled register)
- | LASH | Whirlpool Thrash :: D (redundant with Void Thrash)
- | LASH | Whirlpool Wheel :: D (redundant with Maelstrom Wheel — a whirlpool is the smaller/gentler register 
- | LASH | Whirlpool Windmill :: D (redundant with Maelstrom Windmill)
- | LASH | Whirlpool Roundhouse :: D (redundant)
- | LASH | Eddy Sweep :: D (redundant)
- | LASH | Eddy Swipe :: D (redundant)
- | LASH | Eddy Arc :: D (redundant with Vortex Lash's settled register)
- | LASH | Eddy Thrash :: D (redundant)
- | LASH | Eddy Roundhouse :: D (redundant)
- | RAKE | Gravity Rend :: D (redundant with Void Rend; gravity's pull is steady, not a tearing rend)
- | RAKE | Gravity Rip :: D (redundant with Void Rip)
- | RAKE | Gravity Shred :: D (redundant with Void Shred)
- | RAKE | Gravity Slash :: D (redundant with Void Slash)
- | RAKE | Gravity Gash :: D (redundant with Rift Gash)
- | RAKE | Gravity Gouge :: D (redundant with Void Gouge)
- | RAKE | Gravity Flurry :: D (redundant with Void Flurry)
- | RAKE | Gravity Frenzy :: D (redundant with Void Frenzy)
- | RAKE | Gravity Volley :: D (redundant with Void Volley)
- | RAKE | Gravity Fusillade :: D (redundant with Gravity Barrage)
- | RAKE | Gravity Fray :: D (redundant with Void Fray)
- | RAKE | Gravity Score :: D (redundant with Void Score)
- | RAKE | Gravity Chop :: D (redundant with Void Chop)
- | RAKE | Gravity Hack :: D (redundant with Void Hack)
- | RAKE | Gravity Whittle :: D (redundant with Entropic Whittle; gravity itself doesn't wear down gradually, 
- | RAKE | Gravity Mangle :: D (redundant with Void Mangle)
- | RAKE | Gravity Maul :: D (redundant with Void Maul)
- | RAKE | Gravity Savage :: D (redundant with Void Savage)
- | RAKE | Void Gash :: D (redundant with Rift Gash)
- | RAKE | Void Fusillade :: D (redundant with Void Barrage)
- | RAKE | Void Shear :: D (redundant with Gravity Shear)
- | RAKE | Void Whittle :: D (redundant with Entropic Whittle)
- | RAKE | Singularity Rend :: D (redundant with Void Rend)
- | RAKE | Singularity Rip :: D (redundant with Void Rip)
- | RAKE | Singularity Shred :: D (redundant with Void Shred)
- | RAKE | Singularity Slash :: D (redundant with Void Slash)
- | RAKE | Singularity Gash :: D (redundant with Rift Gash)
- | RAKE | Singularity Gouge :: D (redundant with Void Gouge)
- | RAKE | Singularity Flurry :: D (redundant with Void Flurry)
- | RAKE | Singularity Frenzy :: D (redundant with Void Frenzy)
- | RAKE | Singularity Barrage :: D (redundant with Void Barrage)
- | RAKE | Singularity Volley :: D (redundant with Void Volley)
- | RAKE | Singularity Fusillade :: D (redundant)
- | RAKE | Singularity Fray :: D (redundant with Void Fray)
- | RAKE | Singularity Shear :: D (redundant with Gravity Shear)
- | RAKE | Singularity Score :: D (redundant with Void Score)
- | RAKE | Singularity Chop :: D (redundant with Void Chop)
- | RAKE | Singularity Hack :: D (redundant with Void Hack)
- | RAKE | Singularity Whittle :: D (redundant with Entropic Whittle)
- | RAKE | Singularity Mangle :: D (redundant with Void Mangle)
- | RAKE | Singularity Maul :: D (redundant with Void Maul)
- | RAKE | Singularity Savage :: D (redundant with Void Savage)
- | RAKE | Mass Rake :: D (redundant/weak, Mass Rake fails the same collocation issue Gravity/Void Rake 
- | RAKE | Mass Rend :: D (redundant with Void Rend)
- | RAKE | Mass Rip :: D (redundant with Void Rip)
- | RAKE | Mass Shred :: D (redundant with Void Shred)
- | RAKE | Mass Slash :: D (redundant with Void Slash)
- | RAKE | Mass Gash :: D (redundant with Rift Gash)
- | RAKE | Mass Gouge :: D (redundant with Void Gouge)
- | RAKE | Mass Flurry :: D (redundant with Void Flurry)
- | RAKE | Mass Frenzy :: D (redundant with Void Frenzy)
- | RAKE | Mass Barrage :: D (redundant with Gravity Barrage)
- | RAKE | Mass Volley :: D (redundant with Void Volley)
- | RAKE | Mass Fusillade :: D (redundant)
- | RAKE | Mass Fray :: D (redundant with Void Fray)
- | RAKE | Mass Shear :: D (redundant with Gravity Shear)
- | RAKE | Mass Score :: D (redundant with Void Score)
- | RAKE | Mass Chop :: D (redundant with Void Chop)
- | RAKE | Mass Hack :: D (redundant with Void Hack)
- | RAKE | Mass Whittle :: D (redundant with Entropic Whittle)
- | RAKE | Mass Mangle :: D (redundant with Void Mangle)
- | RAKE | Mass Maul :: D (redundant with Void Maul)
- | RAKE | Mass Savage :: D (redundant with Void Savage)
- | RAKE | Rift Rend :: D (redundant with Void Rend)
- | RAKE | Rift Shred :: D (redundant with Void Shred)
- | RAKE | Rift Slash :: D (redundant with Void Slash)
- | RAKE | Rift Gouge :: D (redundant with Void Gouge)
- | RAKE | Rift Claw :: D (a rift has no claw-analog; the piercing/tearing register is already covered v
- | RAKE | Rift Flurry :: D (redundant with Void Flurry)
- | RAKE | Rift Frenzy :: D (redundant with Void Frenzy)
- | RAKE | Rift Barrage :: D (redundant with Void Barrage)
- | RAKE | Rift Volley :: D (redundant with Void Volley)
- | RAKE | Rift Fusillade :: D (redundant)
- | RAKE | Rift Fray :: D (redundant with Void Fray)
- | RAKE | Rift Shear :: D (redundant with Gravity Shear)
- | RAKE | Rift Chop :: D (redundant with Void Chop)
- | RAKE | Rift Hack :: D (redundant with Void Hack)
- | RAKE | Rift Perforate :: D (redundant with Fissure Tear register)
- | RAKE | Rift Whittle :: D (redundant with Entropic Whittle)
- | RAKE | Rift Mangle :: D (redundant with Void Mangle)
- | RAKE | Rift Maul :: D (redundant with Void Maul)
- | RAKE | Rift Savage :: D (redundant with Void Savage)
- | RAKE | Fissure Rake :: D (redundant with Rift Rake)
- | RAKE | Fissure Rend :: D (redundant with Void Rend)
- | RAKE | Fissure Rip :: D (redundant with Rift Rip)
- | RAKE | Fissure Shred :: D (redundant with Void Shred)
- | RAKE | Fissure Slash :: D (redundant with Void Slash)
- | RAKE | Fissure Gash :: D (redundant with Rift Gash)
- | RAKE | Fissure Gouge :: D (redundant with Void Gouge)
- | RAKE | Fissure Flurry :: D (redundant with Void Flurry)
- | RAKE | Fissure Frenzy :: D (redundant with Void Frenzy)
- | RAKE | Fissure Barrage :: D (redundant with Void Barrage)
- | RAKE | Fissure Volley :: D (redundant with Void Volley)
- | RAKE | Fissure Fusillade :: D (redundant)
- | RAKE | Fissure Fray :: D (redundant with Void Fray)
- | RAKE | Fissure Shear :: D (redundant with Gravity Shear)
- | RAKE | Fissure Score :: D (redundant with Rift Score)
- | RAKE | Fissure Chop :: D (redundant)
- | RAKE | Fissure Hack :: D (redundant)
- | RAKE | Fissure Whittle :: D (redundant with Entropic Whittle)
- | RAKE | Fissure Mangle :: D (redundant with Void Mangle)
- | RAKE | Fissure Maul :: D (redundant with Void Maul)
- | RAKE | Fissure Savage :: D (redundant with Void Savage)
- | RAKE | Chasm Rend :: D (redundant with Void Rend)
- | RAKE | Chasm Rip :: D (redundant with Rift Rip)
- | RAKE | Chasm Shred :: D (redundant with Void Shred)
- | RAKE | Chasm Slash :: D (redundant with Void Slash)
- | RAKE | Chasm Gash :: D (redundant with Rift Gash)
- | RAKE | Chasm Gouge :: D (redundant with Void Gouge)
- | RAKE | Chasm Flurry :: D (redundant with Void Flurry)
- | RAKE | Chasm Frenzy :: D (redundant with Void Frenzy)
- | RAKE | Chasm Barrage :: D (redundant with Void Barrage)
- | RAKE | Chasm Volley :: D (redundant with Void Volley)
- | RAKE | Chasm Fusillade :: D (redundant)
- | RAKE | Chasm Fray :: D (redundant with Void Fray)
- | RAKE | Chasm Shear :: D (redundant with Gravity Shear)
- | RAKE | Chasm Score :: D (redundant with Rift Score)
- | RAKE | Chasm Chop :: D (redundant)
- | RAKE | Chasm Hack :: D (redundant)
- | RAKE | Chasm Perforate :: D (redundant with Fissure Tear)
- | RAKE | Chasm Whittle :: D (redundant with Entropic Whittle)
- | RAKE | Chasm Mangle :: D (redundant with Void Mangle)
- | RAKE | Chasm Maul :: D (redundant with Void Maul)
- | RAKE | Chasm Savage :: D (redundant with Void Savage)
- | RAKE | Warp Rake :: D (redundant with Rift Rake register; warp itself has no edge, bends instead of 
- | RAKE | Warp Rend :: D (redundant with Void Rend)
- | RAKE | Warp Rip :: D (redundant with Void Rip)
- | RAKE | Warp Shred :: D (redundant with Void Shred)
- | RAKE | Warp Gash :: D (redundant with Rift Gash)
- | RAKE | Warp Gouge :: D (redundant with Void Gouge)
- | RAKE | Warp Flurry :: D (redundant with Void Flurry)
- | RAKE | Warp Frenzy :: D (redundant with Void Frenzy)
- | RAKE | Warp Barrage :: D (redundant with Void Barrage)
- | RAKE | Warp Volley :: D (redundant with Void Volley)
- | RAKE | Warp Fusillade :: D (redundant)
- | RAKE | Warp Fray :: D (redundant with Void Fray)
- | RAKE | Warp Shear :: D (redundant with Gravity Shear)
- | RAKE | Warp Score :: D (redundant with Void Score)
- | RAKE | Warp Chop :: D (redundant)
- | RAKE | Warp Hack :: D (redundant)
- | RAKE | Warp Whittle :: D (redundant with Entropic Whittle)
- | RAKE | Warp Mangle :: D (redundant with Void Mangle)
- | RAKE | Warp Maul :: D (redundant with Void Maul)
- | RAKE | Warp Savage :: D (redundant with Void Savage)
