- | STRIKE | Tidal Blow :: D (Tidal Blow — flat, register mismatch with the plain family; not comic/gibberish, but Ti
- | STRIKE | Cataract Rap :: D (redundant)
- | STRIKE | Confluence Buffet :: D (redundant)
- | STRIKE | Confluence Clobber :: D (redundant)
- | STRIKE | Confluence Knock :: D (redundant)
- | STRIKE | Confluence Rap :: D (redundant)
- | STRIKE | Confluence Crash :: D (redundant with Wave Crash)
- | STRIKE | Headwater Slam :: D (redundant)
- | STRIKE | Headwater Buffet :: D (redundant)
- | STRIKE | Headwater Clobber :: D (redundant)
- | STRIKE | Headwater Knock :: D (redundant)
- | STRIKE | Headwater Rap :: D (redundant)
- | STRIKE | Headwater Crash :: D (redundant)
- | STRIKE | Headwater Barge :: D (redundant with Current Barge)
- | LASH | Tidal Sweep :: D (Tidal Sweep — redundant with Tide Sweep, held out)
- | LASH | Tidal Arc :: D (redundant with Tide Arc)
- | LASH | Tidal Crack :: D (redundant with Tide Crack)
- | LASH | Tidal Snap :: D (redundant with Wave Snap)
- | LASH | Tidal Cleave :: D (redundant with Wave Cleave cut — tidal doesn't divide cleanly either)
- | LASH | Tide Swipe :: D (redundant with Surf Swipe)
- | LASH | Tide Snap :: D (redundant with Wave Snap)
- | LASH | Brine Sweep :: D (redundant with Torrent Sweep)
- | LASH | Brine Arc :: D (redundant with Tide Arc)
- | LASH | Brine Snap :: D (redundant with Wave Snap)
- | LASH | Brine Fan :: D (redundant with Spray Fan)
- | LASH | Torrent Swipe :: D (redundant with Surf Swipe)
- | LASH | Torrent Arc :: D (redundant with Tide Arc)
- | LASH | Torrent Snap :: D (redundant with Wave Snap)
- | LASH | Torrent Flail :: D (redundant with Torrent Thrash)
- | LASH | Current Sweep :: D (redundant with Torrent Sweep)
- | LASH | Current Swipe :: D (redundant with Surf Swipe)
- | LASH | Current Arc :: D (redundant with Tide Arc)
- | LASH | Current Snap :: D (redundant with Wave Snap)
- | LASH | Cascade Swipe :: D (redundant with Surf Swipe)
- | LASH | Cascade Arc :: D (redundant with Tide Arc)
- | LASH | Cascade Snap :: D (redundant with Wave Snap)
- | LASH | Whitecap Sweep :: D (redundant with Surf Sweep-class already covered by Tide/Cascade)
- | LASH | Whitecap Swipe :: D (redundant with Surf Swipe)
- | LASH | Whitecap Arc :: D (redundant with Tide Arc)
- | LASH | Whitecap Snap :: D (redundant with Wave Snap)
- | LASH | Surf Sweep :: D (redundant with Torrent Sweep)
- | LASH | Surf Arc :: D (redundant with Tide Arc)
- | LASH | Surf Snap :: D (redundant with Wave Snap)
- | LASH | Surf Fan :: D (redundant with Spray Fan)
- | LASH | Swell Swipe :: D (redundant with Surf Swipe)
- | LASH | Swell Arc :: D (redundant with Tide Arc)
- | LASH | Wave Swipe :: D (redundant with Surf Swipe)
- | LASH | Wave Crack :: D (redundant with Tide Crack)
- | LASH | Wave Fan :: D (redundant with Spray Fan)
- | LASH | Billow Sweep :: D (redundant with Cascade Sweep)
- | LASH | Billow Swipe :: D (redundant with Surf Swipe)
- | LASH | Billow Arc :: D (redundant with Tide Arc)
- | LASH | Billow Snap :: D (redundant with Wave Snap)
- | LASH | Billow Fan :: D (billow can fan out broadly — but "Billow Fan" is redundant/weak against Spray Fan alrea
- | LASH | Ripple Sweep :: D (redundant with Tide Sweep)
- | LASH | Ripple Arc :: D (redundant with Tide Arc)
- | LASH | Eddy Sweep :: D (redundant with Tide Sweep)
- | LASH | Eddy Swipe :: D (redundant with Surf Swipe)
- | LASH | Eddy Arc :: D (redundant with Tide Arc)
- | LASH | Eddy Snap :: D (redundant with Wave Snap)
- | LASH | Undulating Sweep :: D (redundant with Tide Sweep)
- | LASH | Undulating Swipe :: D (redundant with Surf Swipe)
- | LASH | Undulating Arc :: D (redundant with Wave Arc)
- | LASH | Spray Sweep :: D (redundant with Torrent Sweep)
- | LASH | Spray Swipe :: D (redundant with Surf Swipe)
- | LASH | Spray Snap :: D (redundant with Wave Snap)
- | LASH | Foam Sweep :: D (redundant with existing Sweep entries)
- | LASH | Foam Swipe :: D (redundant with Surf Swipe)
- | LASH | Froth Sweep :: D (redundant)
- | LASH | Froth Swipe :: D (redundant)
- | RAKE | Tide Rip :: D (redundant with Current Rip)
- | RAKE | Tide Shred :: D (redundant with Wave Shred)
- | RAKE | Tide Slash :: D (redundant with Brine Slash)
- | RAKE | Tide Gash :: D (redundant with Torrent Gash)
- | RAKE | Tide Flurry :: D (redundant with Tide Frenzy)
- | RAKE | Tide Volley :: D (redundant with Tide Frenzy register)
- | RAKE | Tide Shear :: D (redundant with Current Shear)
- | RAKE | Current Rend :: D (redundant with Tide Rend)
- | RAKE | Current Shred :: D (redundant with Wave Shred)
- | RAKE | Current Slash :: D (redundant with Brine Slash)
- | RAKE | Current Gash :: D (redundant with Torrent Gash)
- | RAKE | Current Flurry :: D (redundant with existing Frenzy entries)
- | RAKE | Current Frenzy :: D (redundant with Tide Frenzy register)
- | RAKE | Current Volley :: D (redundant)
- | RAKE | Rapids Rend :: D (redundant with Tide Rend)
- | RAKE | Rapids Rip :: D (redundant with Current Rip)
- | RAKE | Rapids Shred :: D (redundant with Wave Shred)
- | RAKE | Rapids Slash :: D (redundant with Brine Slash)
- | RAKE | Rapids Gash :: D (redundant with Torrent Gash)
- | RAKE | Rapids Frenzy :: D (redundant)
- | RAKE | Rapids Volley :: D (redundant)
- | RAKE | Rapids Shear :: D (redundant with Current Shear)
- | RAKE | Torrent Rend :: D (redundant with Tide Rend)
- | RAKE | Torrent Rip :: D (redundant with Current Rip)
- | RAKE | Torrent Shred :: D (redundant with Wave Shred)
- | RAKE | Torrent Slash :: D (redundant with Brine Slash)
- | RAKE | Torrent Flurry :: D (redundant)
- | RAKE | Torrent Frenzy :: D (redundant)
- | RAKE | Torrent Volley :: D (redundant)
- | RAKE | Torrent Shear :: D (redundant with Current Shear)
- | RAKE | Wave Rend :: D (redundant with Tide Rend)
- | RAKE | Wave Rip :: D (redundant with Current Rip)
- | RAKE | Wave Slash :: D (redundant with Brine Slash)
- | RAKE | Wave Gash :: D (redundant with Torrent Gash)
- | RAKE | Wave Frenzy :: D (redundant with Wave Flurry)
- | RAKE | Wave Volley :: D (redundant)
- | RAKE | Wave Shear :: D (redundant with Current Shear)
- | RAKE | Surf Rend :: D (redundant with Tide Rend)
- | RAKE | Surf Rip :: D (redundant with Current Rip)
- | RAKE | Surf Shred :: D (redundant with Wave Shred)
- | RAKE | Surf Slash :: D (redundant with Brine Slash)
- | RAKE | Surf Gash :: D (redundant with Torrent Gash)
- | RAKE | Surf Flurry :: D (redundant with Wave Flurry)
- | RAKE | Surf Frenzy :: D (redundant)
- | RAKE | Surf Volley :: D (redundant)
- | RAKE | Surf Shear :: D (redundant with Current Shear)
- | RAKE | Brine Rend :: D (redundant with Tide Rend)
- | RAKE | Brine Rip :: D (redundant with Current Rip)
- | RAKE | Brine Shred :: D (redundant with Wave Shred)
- | RAKE | Brine Gash :: D (redundant with Torrent Gash)
- | RAKE | Brine Flurry :: D (redundant)
- | RAKE | Brine Frenzy :: D (redundant)
- | RAKE | Brine Volley :: D (redundant)
- | RAKE | Spray Rend :: D (redundant with Tide Rend)
- | RAKE | Spray Rip :: D (redundant with Current Rip)
- | RAKE | Spray Shred :: D (redundant with Wave Shred)
- | RAKE | Spray Slash :: D (redundant with Brine Slash)
- | RAKE | Spray Gash :: D (redundant with Torrent Gash)
- | RAKE | Spray Flurry :: D (redundant with Tide Frenzy register)
- | RAKE | Spray Barrage :: D (spray is a diffuse scatter already, "barrage" is redundant/T with spray's own definitio
- | RAKE | Spray Volley :: D (redundant, near-tautology with spray's own scatter-definition)
- | RAKE | Spray Shear :: D (redundant with Current Shear)
- | RAKE | Deluge Rake :: D (redundant with Tide Rake register)
- | RAKE | Deluge Rend :: D (redundant with Tide Rend)
- | RAKE | Deluge Rip :: D (redundant with Current Rip)
- | RAKE | Deluge Slash :: D (redundant with Brine Slash)
- | RAKE | Deluge Gash :: D (redundant with Torrent Gash)
- | RAKE | Deluge Flurry :: D (redundant)
- | RAKE | Deluge Frenzy :: D (redundant)
- | RAKE | Deluge Volley :: D (redundant)
- | RAKE | Deluge Shear :: D (redundant with Current Shear)
- | RAKE | Flood Rake :: D (redundant with Tide Rake register)
- | RAKE | Flood Rend :: D (redundant with Tide Rend)
- | RAKE | Flood Rip :: D (redundant with Current Rip)
- | RAKE | Flood Shred :: D (redundant with Deluge Shred)
- | RAKE | Flood Slash :: D (redundant with Brine Slash)
- | RAKE | Flood Gash :: D (redundant with Torrent Gash)
- | RAKE | Flood Frenzy :: D (redundant with Flood Frenzy)
- | RAKE | Flood Volley :: D (redundant)
- | RAKE | Flood Shear :: D (redundant with Current Shear)
- | RAKE | Cascade Rake :: D (redundant with Wave Rake register)
- | RAKE | Cascade Rend :: D (redundant with Tide Rend)
- | RAKE | Cascade Shred :: D (redundant with Wave Shred)
- | RAKE | Cascade Slash :: D (redundant with Brine Slash)
- | RAKE | Cascade Gash :: D (redundant with Torrent Gash)
- | RAKE | Cascade Flurry :: D (redundant with Wave Flurry)
- | RAKE | Cascade Frenzy :: D (redundant)
- | RAKE | Cascade Volley :: D (redundant)
- | RAKE | Cascade Shear :: D (redundant with Current Shear)
- | RAKE | Surge Rake :: D (redundant with Tide Rake register)
- | RAKE | Surge Rend :: D (redundant with Tide Rend)
- | RAKE | Surge Rip :: D (redundant with Current Rip)
- | RAKE | Surge Shred :: D (redundant with Wave Shred)
- | RAKE | Surge Slash :: D (redundant with Brine Slash)
- | RAKE | Surge Gash :: D (redundant with Torrent Gash)
- | RAKE | Surge Flurry :: D (redundant)
- | RAKE | Surge Frenzy :: D (redundant)
- | RAKE | Surge Volley :: D (redundant)
- | RAKE | Surge Shear :: D (redundant with Current Shear)
- | SHOVE | Tidal Thrust :: D (redundant with Tide Thrust)
- | SHOVE | Tidal Ram :: D (redundant with Wave/Torrent Ram in strike, X-adjacent)
- | SHOVE | Tidal Charge :: D (redundant with Current Charge)
- | SHOVE | Tidal Slam :: D (redundant with strike-cell Tidal Smash, X)
- | SHOVE | Tidal Bash :: D (redundant with Torrent Bash, strike-cell)
- | SHOVE | Tidal Buffet :: D (redundant with Brine Buffet)
- | SHOVE | Tidal Jolt :: D (redundant with Tide Jolt)
- | SHOVE | Tidal Jostle :: D (redundant with Wave Jostle)
- | SHOVE | Tidal Barge :: D (redundant with Torrent/Rapids Barge)
- | SHOVE | Tidal Stagger :: D (redundant with Wave Stagger)
- | SHOVE | Tidal Buckle :: D (redundant with Current Buckle)
- | SHOVE | Tidal Heave :: D (redundant with Tide Heave)
- | SHOVE | Tidal Bowl Over :: D (redundant with Tidal Knockdown register)
- | SHOVE | Tide Push :: D (redundant with Tidal Shove)
- | SHOVE | Tide Ram :: D (redundant with Wave/Tide Ram, strike-cell)
- | SHOVE | Tide Charge :: D (redundant with Current Charge)
- | SHOVE | Tide Slam :: D (redundant with strike-cell entries)
- | SHOVE | Tide Bash :: D (redundant with Torrent Bash)
- | SHOVE | Tide Buffet :: D (redundant with Brine Buffet)
- | SHOVE | Tide Jostle :: D (redundant with Wave Jostle)
- | SHOVE | Tide Barge :: D (redundant with Torrent/Rapids Barge)
- | SHOVE | Tide Stagger :: D (redundant with Wave Stagger)
- | SHOVE | Tide Buckle :: D (redundant with Current Buckle)
- | SHOVE | Tide Bowl Over :: D (redundant with Tide Topple register)
- | SHOVE | Brine Push :: D (redundant with Tidal Shove)
- | SHOVE | Brine Thrust :: D (redundant with Tide Thrust)
- | SHOVE | Brine Charge :: D (redundant with Current Charge)
- | SHOVE | Brine Slam :: D (redundant with strike-cell entries)
- | SHOVE | Brine Bash :: D (redundant with Torrent Bash)
- | SHOVE | Brine Jolt :: D (redundant with Tide Jolt)
- | SHOVE | Brine Jostle :: D (redundant with Wave Jostle)
- | SHOVE | Brine Barge :: D (redundant with Torrent/Rapids Barge)
- | SHOVE | Brine Stagger :: D (redundant with Wave Stagger)
- | SHOVE | Brine Buckle :: D (redundant with Current Buckle)
- | SHOVE | Brine Knock Down :: D (redundant with Tidal Knockdown register)
- | SHOVE | Brine Bowl Over :: D (redundant)
- | SHOVE | Current Thrust :: D (redundant with Tide Thrust)
- | SHOVE | Current Ram :: D (redundant with Torrent Ram, strike-cell)
- | SHOVE | Current Slam :: D (redundant with strike-cell entries)
- | SHOVE | Current Bash :: D (redundant with Torrent Bash)
- | SHOVE | Current Buffet :: D (redundant with Brine Buffet)
- | SHOVE | Current Jolt :: D (redundant with Tide Jolt)
- | SHOVE | Current Jostle :: D (redundant with Wave Jostle)
- | SHOVE | Current Topple :: D (redundant with Tide Topple)
- | SHOVE | Current Stagger :: D (redundant with Wave Stagger)
- | SHOVE | Current Knock Down :: D (redundant with Tidal Knockdown register)
- | SHOVE | Current Bowl Over :: D (redundant)
- | SHOVE | Torrent Thrust :: D (redundant with Tide Thrust)
- | SHOVE | Torrent Ram :: D (redundant with Torrent Ram, strike-cell, X)
- | SHOVE | Torrent Charge :: D (redundant with Current Charge)
- | SHOVE | Torrent Slam :: D (redundant with strike-cell entries)
- | SHOVE | Torrent Bash :: D (redundant with Torrent Bash, strike-cell, X)
- | SHOVE | Torrent Buffet :: D (redundant with Brine Buffet)
- | SHOVE | Torrent Jolt :: D (redundant with Tide Jolt)
- | SHOVE | Torrent Jostle :: D (redundant with Wave Jostle)
- | SHOVE | Torrent Topple :: D (redundant with Tide Topple)
- | SHOVE | Torrent Stagger :: D (redundant with Wave Stagger)
- | SHOVE | Torrent Buckle :: D (redundant with Current Buckle)
- | SHOVE | Torrent Knock Down :: D (redundant with Tidal Knockdown register)
- | SHOVE | Torrent Bowl Over :: D (redundant)
- | SHOVE | Rapids Push :: D (redundant with Torrent Push)
- | SHOVE | Rapids Thrust :: D (redundant with Tide Thrust)
- | SHOVE | Rapids Ram :: D (redundant with Torrent Ram)
- | SHOVE | Rapids Charge :: D (redundant with Current Charge)
- | SHOVE | Rapids Slam :: D (redundant with strike-cell entries)
- | SHOVE | Rapids Bash :: D (redundant with Torrent Bash)
- | SHOVE | Rapids Buffet :: D (redundant with Brine Buffet)
- | SHOVE | Rapids Jolt :: D (redundant with Tide Jolt)
- | SHOVE | Rapids Jostle :: D (redundant with Wave Jostle)
- | SHOVE | Rapids Topple :: D (redundant with Tide Topple)
- | SHOVE | Rapids Stagger :: D (redundant with Wave Stagger)
- | SHOVE | Rapids Buckle :: D (redundant with Current Buckle)
- | SHOVE | Rapids Knock Down :: D (redundant)
- | SHOVE | Rapids Bowl Over :: D (redundant)
- | SHOVE | Deluge Thrust :: D (redundant with Tide Thrust)
- | SHOVE | Deluge Slam :: D (redundant with strike-cell entries)
- | SHOVE | Deluge Bash :: D (redundant with Torrent Bash)
- | SHOVE | Deluge Buffet :: D (redundant with Brine Buffet)
- | SHOVE | Deluge Jolt :: D (redundant with Tide Jolt)
- | SHOVE | Deluge Jostle :: D (redundant with Wave Jostle)
- | SHOVE | Deluge Barge :: D (redundant with Torrent Barge)
- | SHOVE | Deluge Topple :: D (redundant with Tide Topple)
- | SHOVE | Deluge Stagger :: D (redundant with Wave Stagger)
- | SHOVE | Deluge Buckle :: D (redundant with Current Buckle)
- | SHOVE | Deluge Knock Down :: D (redundant)
- | SHOVE | Deluge Bowl Over :: D (redundant)
- | SHOVE | Flood Thrust :: D (redundant with Tide Thrust)
- | SHOVE | Flood Slam :: D (redundant with strike-cell entries)
- | SHOVE | Flood Bash :: D (redundant with Torrent Bash)
- | SHOVE | Flood Buffet :: D (redundant with Brine Buffet)
- | SHOVE | Flood Jolt :: D (redundant with Tide Jolt)
- | SHOVE | Flood Jostle :: D (redundant with Wave Jostle)
- | SHOVE | Flood Barge :: D (redundant with Torrent Barge)
- | SHOVE | Flood Topple :: D (redundant with Tide Topple)
- | SHOVE | Flood Stagger :: D (redundant with Wave Stagger)
- | SHOVE | Flood Buckle :: D (redundant with Current Buckle)
- | SHOVE | Flood Knock Down :: D (redundant)
- | SHOVE | Flood Bowl Over :: D (redundant)
- | SHOVE | Billow Thrust :: D (redundant with Tide Thrust)
- | SHOVE | Billow Charge :: D (redundant with Current Charge)
- | SHOVE | Billow Slam :: D (redundant with strike-cell entries)
- | SHOVE | Billow Bash :: D (redundant with Torrent Bash)
- | SHOVE | Billow Buffet :: D (redundant with Brine Buffet)
- | SHOVE | Billow Jolt :: D (redundant with Tide Jolt)
- | SHOVE | Billow Jostle :: D (redundant with Wave Jostle)
- | SHOVE | Billow Barge :: D (redundant with Torrent Barge)
- | SHOVE | Billow Topple :: D (redundant with Tide Topple)
- | SHOVE | Billow Stagger :: D (redundant with Wave Stagger)
- | SHOVE | Billow Buckle :: D (redundant with Current Buckle)
- | SHOVE | Billow Knock Down :: D (redundant)
- | SHOVE | Billow Bowl Over :: D (redundant)
- | SHOVE | Breaker Thrust :: D (redundant with Tide Thrust)
- | SHOVE | Breaker Ram :: D (redundant with strike-cell Whitecap/Breaker entries)
- | SHOVE | Breaker Charge :: D (redundant with Current Charge)
- | SHOVE | Breaker Slam :: D (redundant with strike-cell entries)
- | SHOVE | Breaker Bash :: D (redundant with Torrent Bash)
- | SHOVE | Breaker Buffet :: D (redundant with Brine Buffet)
- | SHOVE | Breaker Jolt :: D (redundant with Tide Jolt)
- | SHOVE | Breaker Jostle :: D (redundant with Wave Jostle)
- | SHOVE | Breaker Barge :: D (redundant with Torrent Barge)
- | SHOVE | Breaker Topple :: D (redundant with Tide Topple)
- | SHOVE | Breaker Stagger :: D (redundant with Wave Stagger)
- | SHOVE | Breaker Buckle :: D (redundant with Current Buckle)
- | SHOVE | Breaker Knock Down :: D (redundant)
- | SHOVE | Breaker Bowl Over :: D (redundant)
- | SHOVE | Surge Thrust :: D (redundant with Tide Thrust)
- | SHOVE | Surge Charge :: D (redundant with Current Charge; also cross-listed strike-cell Surge Charge, X)
- | SHOVE | Surge Slam :: D (redundant with strike-cell Surge Slam, X)
- | SHOVE | Surge Bash :: D (redundant with Torrent Bash)
- | SHOVE | Surge Buffet :: D (redundant with Brine Buffet)
- | SHOVE | Surge Jolt :: D (redundant with Tide Jolt)
- | SHOVE | Surge Jostle :: D (redundant with Wave Jostle)
- | SHOVE | Surge Topple :: D (redundant with Tide Topple)
- | SHOVE | Surge Stagger :: D (redundant with Wave Stagger)
- | SHOVE | Surge Buckle :: D (redundant with Current Buckle)
- | SHOVE | Surge Knock Down :: D (redundant)
- | SHOVE | Surge Bowl Over :: D (redundant)
- | SHOVE | Wave Thrust :: D (redundant with Tide Thrust)
- | SHOVE | Wave Ram :: D (redundant with strike-cell Wave Ram, X)
- | SHOVE | Wave Charge :: D (redundant with strike-cell Wave Charge, X)
- | SHOVE | Wave Slam :: D (redundant with strike-cell Wave Slam, X)
- | SHOVE | Wave Bash :: D (redundant with Torrent Bash)
- | SHOVE | Wave Buffet :: D (redundant with strike-cell Wave Buffet, X)
- | SHOVE | Wave Jolt :: D (redundant with Tide Jolt)
- | SHOVE | Wave Barge :: D (redundant with Torrent Barge)
- | SHOVE | Wave Topple :: D (redundant with Tide Topple)
- | SHOVE | Wave Buckle :: D (redundant with Current Buckle)
- | SHOVE | Wave Knock Down :: D (redundant)
- | SHOVE | Wave Bowl Over :: D (redundant)
- | SHOVE | Cascade Push :: D (redundant with Torrent Push)
- | SHOVE | Cascade Thrust :: D (redundant with Tide Thrust)
- | SHOVE | Cascade Slam :: D (redundant with strike-cell Cascade Crash, X)
- | SHOVE | Cascade Bash :: D (redundant with Torrent Bash)
- | SHOVE | Cascade Buffet :: D (redundant with Brine Buffet)
- | SHOVE | Cascade Jolt :: D (redundant with Tide Jolt)
- | SHOVE | Cascade Jostle :: D (redundant with Wave Jostle)
- | SHOVE | Cascade Barge :: D (redundant with Torrent Barge)
- | SHOVE | Cascade Stagger :: D (redundant with Wave Stagger)
- | SHOVE | Cascade Buckle :: D (redundant with Current Buckle)
- | SHOVE | Cascade Knock Down :: D (redundant)
- | SHOVE | Cascade Bowl Over :: D (redundant)
- | SHOVE | Whitecap Push :: D (redundant with Tidal Shove)
- | SHOVE | Whitecap Thrust :: D (redundant with Tide Thrust)
- | SHOVE | Whitecap Slam :: D (redundant with strike-cell Whitecap Crash, X)
- | SHOVE | Whitecap Bash :: D (redundant with Torrent Bash)
- | SHOVE | Whitecap Buffet :: D (redundant with Brine Buffet)
- | SHOVE | Whitecap Jolt :: D (redundant with Tide Jolt)
- | SHOVE | Whitecap Jostle :: D (redundant with Wave Jostle)
- | SHOVE | Whitecap Barge :: D (redundant with Torrent Barge)
- | SHOVE | Whitecap Topple :: D (redundant with Tide Topple)
- | SHOVE | Whitecap Stagger :: D (redundant with Wave Stagger)
- | SHOVE | Whitecap Buckle :: D (redundant with Current Buckle)
- | SHOVE | Whitecap Knock Down :: D (redundant)
- | SHOVE | Whitecap Bowl Over :: D (redundant)
- | SHOVE | Riptide Push :: D (redundant with Riptide Shove, the primary honest partner already kept)
- | SHOVE | Riptide Thrust :: D (redundant with Riptide Shove register)
- | SHOVE | Riptide Slam :: D (redundant)
- | SHOVE | Riptide Bash :: D (redundant)
- | SHOVE | Riptide Buffet :: D (redundant)
- | SHOVE | Riptide Jolt :: D (redundant with Tide Jolt)
- | SHOVE | Riptide Jostle :: D (redundant with Wave Jostle)
- | SHOVE | Riptide Barge :: D (redundant with Torrent Barge)
- | SHOVE | Riptide Topple :: D (redundant with Tide Topple)
- | SHOVE | Riptide Stagger :: D (redundant with Wave Stagger)
- | SHOVE | Riptide Buckle :: D (redundant with Current Buckle)
- | SHOVE | Riptide Knock Down :: D (redundant)
- | SHOVE | Riptide Bowl Over :: D (redundant)
- | SPRAY | Tide Discharge :: X — Torrent Discharge already covers this concept; "Tide Discharge" redundant
- | SPRAY | Tide Barrage :: X — near-dup of Brine Barrage; redundant
- | SPRAY | Tide Plume :: X — Brine Plume already covers this; Tide Plume redundant
- | SPRAY | Tide Fountain :: X — Spray Fountain/Fountain Spray already cover this register; redundant
- | SPRAY | Tide Effusion :: X — Brine Effusion already covers this; redundant
- | SPRAY | Tide Shower :: X — redundant with Geyser Spray's shower-adjacent reading, no distinguishing feature
- | SPRAY | Brine Wash :: X — Tide Wash/Cascade Wash cover the wash concept; Brine Wash redundant
- | SPRAY | Torrent Spray :: X — Torrent Discharge is the kept form; bare "Torrent Spray" redundant with it
- | SPRAY | Torrent Plume :: X — Geyser Plume/Brine Plume cover the plume register; Torrent Plume redundant
- | SPRAY | Wave Jet :: X — Brine Jet/Tide Jet cover the jet register; Wave Jet redundant, no distinguishing featu
- | SPRAY | Mist Plume :: D — mist could plume, but "Mist Cloud" (cloud cell) already covers mist's lingering rise m
- | SPRAY | Mist Cone :: D — same, mist doesn't cone-shape cleanly, redundant against Mist Cloud — X
- | SPRAY | Mist Arc :: D — mist has no defined edge to arc; redundant against cloud-cell Mist Veil — X
- | SPRAY | Mist Sheet :: D — mist has no defined sheet-shape; redundant against cloud-cell Mist Shroud — X
